hotel_name,score,n_reviews,total_price,category,city_center_dist,neighborhood,free_cancellation,price_per_night
Il Giglio Rosso B&B,8.6,428,63,Bed&Breakfast,1.4,Fortezza da Basso,True,63.0
B&B Residenza Maiano,8.3,291,78,Bed&Breakfast,0.7,San Lorenzo,True,78.0
Hotel Costantini,8.7,762,84,Hotel,0.1,Duomo,True,84.0
Hotel Accademia,9.1,1457,128,Hotel,0.4,San Lorenzo,True,128.0
Bed & Bed Peterson,7.3,528,54,Hotel,1.4,Fortezza da Basso,True,54.0
Artemente Florence B&B,9.2,407,89,Bed&Breakfast,0.9,Centro storico di Firenze,True,89.0
Hotel Davanzati,9.3,1128,168,Hotel,0.2,Uffizi,True,168.0
Sun Frediano Suites Florence,9.2,388,96,Hotel,1.0,San Frediano,True,96.0
Hotel Bodoni,8.2,2536,77,Hotel,0.8,Santa Croce,True,77.0
Hotel Jolì,8.9,1665,124,Hotel,0.7,Centro storico di Firenze,True,124.0
Firenze Camping In Town,8.6,13646,55,Other,5.0,Not specified,True,55.0
Hotel Villa Carlotta,7.9,803,129,Hotel,1.6,Piazzale Michelangelo,True,129.0
numa l Rodo Rooms & Suites,9.1,457,97,Hotel,0.2,Duomo,True,97.0
Gelsomino Garden,8.7,363,52,Hotel,2.6,Not specified,True,52.0
Artemide Guest House,9.1,369,93,Hotel,0.7,Centro storico di Firenze,True,93.0
Hotel Mario's,8.6,1146,89,Hotel,0.8,Centro storico di Firenze,True,89.0
Soggiorno Campos,7.8,533,64,Hotel,0.9,San Lorenzo,True,64.0
Souvenir Maya,8.0,396,61,Hotel,0.9,San Lorenzo,True,61.0
c-hotels Ambasciatori,8.6,3566,133,Hotel,0.8,Santa Maria Novella,True,133.0
Hotel SGiorgio & Olimpic,7.9,1245,88,Hotel,0.4,San Lorenzo,True,88.0
B&B Dell'Olio,9.7,465,130,Bed&Breakfast,0.2,Duomo,True,130.0
Locanda Dei Guelfi,8.5,482,113,Hotel,0.7,San Lorenzo,True,113.0
Hotel Lombardi,8.4,935,83,Hotel,0.7,Centro storico di Firenze,True,83.0
Florence Room B&B,7.6,381,82,Bed&Breakfast,0.6,Centro storico di Firenze,True,82.0
Piccolo Borgo Antico,9.1,473,110,Hotel,0.4,San Frediano,True,110.0
Entire 6 Bedrooms Flat at Historical Center with LIFT,8.5,17,99,Hotel,0.5,San Lorenzo,True,99.0
B&B Giorni Dipinti,9.2,425,67,Bed&Breakfast,0.9,San Marco - Santissima Annunziata,True,67.0
Hotel Principe,8.4,441,180,Hotel,1.0,Santa Maria Novella,True,180.0
Hotel Fiorita,8.4,1201,98,Hotel,0.8,Centro storico di Firenze,True,98.0
Rivoli Boutique Hotel,8.6,1603,153,Hotel,0.6,Santa Maria Novella,True,153.0
Hotel Mirage,7.3,1347,99,Hotel,4.7,Novoli - San Donato,True,99.0
La Residenza del Proconsolo,8.4,267,108,Hotel,0.3,Duomo,True,108.0
Hotel della Signoria,9.1,1114,140,Hotel,0.2,Uffizi,True,140.0
Hotel Masaccio,7.6,539,54,Hotel,1.7,Campo di Marte,True,54.0
Horto Convento,9.3,1974,131,Hotel,1.2,San Frediano,True,131.0
Hotel Pierre,8.7,482,150,Hotel,0.1,Uffizi,True,150.0
Hotel Boston,8.6,508,132,Hotel,0.8,Centro storico di Firenze,True,132.0
Youth Firenze 2000,7.0,826,76,Hotel,1.7,Not specified,True,76.0
Pietrapiana Boutique Apartments,9.6,384,128,Hotel,0.9,Centro storico di Firenze,True,128.0
Hotel Burchianti,9.0,1017,167,Hotel,0.4,San Lorenzo,True,167.0
Live Florence Guest House,8.9,244,94,Hotel,0.7,San Lorenzo,True,94.0
Dante's Relais,7.6,840,67,Hotel,0.2,Uffizi,True,67.0
Dedo Boutique Hotel,8.6,1675,108,Hotel,0.9,Santa Maria Novella,True,108.0
Hotel Eden,7.9,691,63,Hotel,0.8,San Lorenzo,True,63.0
Hotel Cardinal of Florence,8.8,1102,84,Hotel,0.7,San Marco - Santissima Annunziata,True,84.0
B&B La Residenza di Michelangelo,8.9,948,128,Bed&Breakfast,0.6,San Lorenzo,True,128.0
Le Contesse,9.0,397,72,Hotel,1.0,San Marco - Santissima Annunziata,True,72.0
Hotel Ferretti,7.2,1551,51,Hotel,0.4,Santa Maria Novella,True,51.0
Hotel Lombardia,8.9,1601,130,Hotel,0.4,Santa Maria Novella,True,130.0
B&B San Remigio,9.5,731,123,Bed&Breakfast,0.5,Uffizi,True,123.0
Hotel Cantoria,8.0,1895,89,Hotel,0.7,Centro storico di Firenze,True,89.0
B&B A Florence View,9.3,714,97,Bed&Breakfast,0.1,Duomo,True,97.0
Villa Tortorelli,9.0,47,96,Hotel,1.1,San Marco - Santissima Annunziata,True,96.0
Your Florence,9.4,587,97,Hotel,0.3,Tornabuoni,True,97.0
Hotel Palazzo Benci,8.1,1404,107,Hotel,0.4,San Lorenzo,True,107.0
Emerald Palace Hostel,8.3,1174,91,Hotel,0.5,San Lorenzo,True,91.0
B&b Kingsman,9.4,552,103,Bed&Breakfast,0.9,Santa Maria Novella,True,103.0
Pontevecchio Relais,8.4,1433,102,Hotel,0.4,Uffizi,True,102.0
Hotel Miceli - Civico 50,9.0,752,90,Hotel,0.8,San Marco - Santissima Annunziata,True,90.0
Soggiorno Isabella De' Medici,8.6,1149,71,Hotel,0.8,Centro storico di Firenze,True,71.0
Casa Rovai Guest House,8.4,203,107,Hotel,0.7,San Marco - Santissima Annunziata,True,107.0
Granduomo Charming Accomodation,9.4,381,184,Apartment,0.3,Duomo,True,184.0
Daphne Guest House,8.6,333,131,Hotel,0.6,Centro storico di Firenze,True,131.0
Hotel Alinari,8.6,432,105,Hotel,0.6,San Lorenzo,True,105.0
Casa Botticelli,9.6,527,169,Hotel,0.8,San Frediano,True,169.0
B&B Dante Alighieri,8.5,324,92,Bed&Breakfast,0.0,Uffizi,True,92.0
N4U Guest House Florence,8.9,460,136,Hotel,0.3,Uffizi,True,136.0
B&B Hotel Firenze Novoli,8.0,690,76,Bed&Breakfast,4.3,Novoli - San Donato,True,76.0
La Casa de Lazarina,9.5,22,143,Apartment,0.9,Santa Croce,True,143.0
Hotel Il Bargellino,8.4,99,89,Hotel,0.9,Centro storico di Firenze,True,89.0
Palazzo Lorenzo Hotel Boutique & Spa,9.2,221,193,Hotel,1.5,Fortezza da Basso,True,193.0
Arnobio Florence Suites,8.8,212,108,Hotel,0.2,Tornabuoni,True,108.0
Hotel Delle Camelie,8.8,694,88,Hotel,1.0,Centro storico di Firenze,True,88.0
Residenza Il Villino B&B,9.2,453,133,Bed&Breakfast,0.8,San Marco - Santissima Annunziata,True,133.0
Hotel Donatello,8.0,386,121,Hotel,1.0,Centro storico di Firenze,True,121.0
Villino Fiorentino,9.3,226,136,Hotel,1.7,Fortezza da Basso,True,136.0
Together Florence Inn,8.0,1415,105,Hotel,4.7,Not specified,True,105.0
Sina Villa Medici. Autograph Collection,8.1,91,359,Hotel,1.1,Centro storico di Firenze,True,359.0
Armonie di Villa Incontri B&B,9.6,327,111,Bed&Breakfast,3.4,Rifredi,True,111.0
Opera Boutique B&B,9.4,334,164,Bed&Breakfast,1.4,Fortezza da Basso,True,164.0
Hotel Centro,8.9,947,117,Hotel,0.6,San Lorenzo,True,117.0
Residenza D'Epoca Al Numero 8,8.6,325,130,Hotel,0.7,San Frediano,True,130.0
Hotel Marine,7.9,470,78,Hotel,0.8,Centro storico di Firenze,True,78.0
Al Canto B&B,9.2,186,86,Bed&Breakfast,4.9,Not specified,True,86.0
Leone Blu Suites | UNA Esperienze,9.4,201,186,Hotel,0.5,Tornabuoni,True,186.0
B&B La Cittadella,8.7,480,88,Bed&Breakfast,1.3,Fortezza da Basso,True,88.0
Residenza24,9.2,46,78,Hotel,1.3,Fortezza da Basso,True,78.0
MDR NumberSix Suites,9.2,112,156,Apartment,1.2,San Marco - Santissima Annunziata,True,156.0
Maison Bianca B&B,9.1,622,75,Bed&Breakfast,1.5,Fortezza da Basso,True,75.0
B&B Lorenzo de' Medici,9.7,593,127,Bed&Breakfast,0.5,San Lorenzo,True,127.0
Hotel Dalmazia,7.9,550,78,Hotel,2.8,Rifredi,True,78.0
Florence Apartments - Tower,7.7,177,137,Apartment,0.8,Santa Maria Novella,True,137.0
Hotel De La Pace,8.2,386,132,Hotel,1.3,San Marco - Santissima Annunziata,True,132.0
Relais Del Duomo,9.1,302,128,Hotel,0.2,Duomo,True,128.0
Ricasoli Firenze Luxury Apartments UNA Esperienze,9.4,176,208,Apartment,0.6,San Marco - Santissima Annunziata,True,208.0
Residence Le Cure,7.7,371,60,Hotel,2.1,Campo di Marte,True,60.0
